"","x"
"1246",18
"1247",18
"1248",18
"1249",18
"1250",18
"1251",18
"1252",18
"1253",18
"1254",18
"1255",18
"1256",18
"1257",18
"1258",18
"1259",18
"1260",18
"1261",17.5
"1262",17.5
"1263",17.5
"1264",18
"1265",17.5
"1266",17.5
"1267",17.5
"1268",17.5
"1269",17.5
"1270",18
"1271",17.5
"1272",17.5
"1273",17.5
"1274",17.5
"1275",17.5
"1276",17.5
"1277",17.5
"1278",17.5
"1279",17.5
"1280",17.5
"1281",17.5
"1282",17.5
"1283",17.5
"1284",17.5
"1285",17.5
"1286",17.5
"1287",17
"1288",17.5
"1289",17.5
"1290",17.5
"1291",17
"1292",17
"1293",17
"1294",17.5
"1295",17
"1296",17
"1297",17
"1298",17
"1299",17
"1300",17
"1301",17
"1302",17
"1303",17
"1304",17
"1305",17
"1306",17
"1307",17
"1308",17
"1309",17
"1310",16.5
"1311",17
"1312",16.5
"1313",16.5
"1314",16.5
"1315",16.5
"1316",16.5
"1317",16.5
"1318",16.5
"1319",16.5
"1320",17
"1321",18.5
"1322",20.5
"1323",22
"1324",22
"1325",21
"1326",20.5
"1327",20.5
"1328",20
"1329",20.5
"1330",21.5
"1331",21.5
"1332",21.5
"1333",21.5
"1334",22
"1335",22
"1336",22
"1337",22
"1338",22.5
"1339",22.5
"1340",23
"1341",23
"1342",23
"1343",23.5
"1344",23
"1345",23.5
"1346",23.5
"1347",23.5
"1348",23.5
"1349",23.5
"1350",23.5
"1351",23.5
"1352",23.5
"1353",23.5
"1354",23
"1355",23
"1356",23
"1357",23
"1358",23
"1359",23
"1360",22.5
"1361",22.5
"1362",22.5
"1363",22.5
"1364",22.5
"1365",22
"1366",22
"1367",22
"1368",22
"1369",22
"1370",22
"1371",21.5
"1372",21.5
"1373",21.5
"1374",21.5
"1375",21.5
"1376",21.5
"1377",21
"1378",21.5
"1379",21
"1380",21
"1381",21
"1382",21
"1383",21
"1384",21
"1385",21
"1386",21
"1387",20.5
"1388",20.5
"1389",20.5
"1390",20.5
"1391",20.5
"1392",20.5
"1393",20
"1394",20
"1395",20
"1396",20
"1397",20
"1398",20
"1399",20
"1400",20
"1401",19.5
"1402",19.5
"1403",19.5
"1404",19.5
"1405",19.5
"1406",19.5
"1407",19.5
"1408",19.5
"1409",19
"1410",19
"1411",19
"1412",19
"1413",19
"1414",19
"1415",19
"1416",19.5
"1417",21.5
"1418",22.5
"1419",22.5
"1420",22
"1421",21.5
"1422",21.5
"1423",21.5
"1424",21.5
"1425",21.5
"1426",21.5
"1427",21.5
"1428",21.5
"1429",21.5
"1430",21.5
"1431",21.5
"1432",21.5
"1433",21.5
"1434",22
"1435",22
"1436",22.5
"1437",23
"1438",23.5
"1439",23.5
"1440",24
"1441",24
"1442",24
"1443",24.5
"1444",24.5
"1445",24.5
"1446",24.5
"1447",24.5
"1448",24.5
"1449",24.5
"1450",24
"1451",24
"1452",24
"1453",23.5
"1454",23.5
"1455",23
"1456",23
"1457",22.5
"1458",22.5
"1459",22
"1460",22
"1461",21.5
"1462",21.5
"1463",21.5
"1464",21.5
"1465",21.5
"1466",21.5
"1467",21
"1468",21
"1469",21
"1470",21
"1471",21
"1472",21
"1473",21
"1474",20.5
"1475",20.5
"1476",20.5
"1477",20.5
"1478",20.5
"1479",20.5
"1480",20.5
"1481",20
"1482",20
"1483",20
"1484",20
"1485",20
"1486",19.5
"1487",19.5
"1488",19.5
"1489",19.5
"1490",19.5
"1491",19.5
"1492",19
"1493",19
"1494",19
"1495",19
"1496",19
"1497",18.5
"1498",18.5
"1499",18.5
"1500",18.5
"1501",18.5
"1502",18.5
"1503",18.5
"1504",18
"1505",18
"1506",18
"1507",18
"1508",18
"1509",18
"1510",18
"1511",17.5
"1512",18
"1513",18.5
"1514",19.5
"1515",20.5
"1516",21
"1517",21.5
"1518",22
"1519",22
"1520",21.5
"1521",21.5
"1522",22
"1523",21.5
"1524",21.5
"1525",21.5
"1526",21.5
"1527",21.5
"1528",21.5
"1529",21.5
"1530",22
"1531",21.5
"1532",22
"1533",22
"1534",22
"1535",22.5
"1536",23
"1537",23
"1538",23.5
"1539",24
"1540",22.5
"1541",23
"1542",22
"1543",22
"1544",21.5
"1545",22.5
"1546",22.5
"1547",22.5
"1548",22.5
"1549",22.5
"1550",22.5
"1551",22
"1552",22
"1553",21.5
"1554",21.5
"1555",21.5
"1556",21.5
"1557",21.5
"1558",21.5
"1559",21.5
"1560",21.5
"1561",21.5
"1562",21
"1563",21
"1564",21
"1565",21
"1566",21
"1567",21
"1568",21
"1569",21
"1570",21
"1571",21
"1572",21
"1573",20.5
"1574",20.5
"1575",20.5
"1576",20.5
"1577",20.5
"1578",20.5
"1579",20
"1580",20
"1581",20
"1582",20
"1583",20
"1584",20
"1585",20
"1586",20
"1587",19.5
"1588",19.5
"1589",19.5
"1590",19.5
"1591",19.5
"1592",19.5
"1593",19.5
"1594",19.5
"1595",19.5
"1596",19
"1597",19
"1598",19.5
"1599",19
"1600",19
"1601",19
"1602",19
"1603",19
"1604",18.5
"1605",19
"1606",19
"1607",18.5
"1608",19
"1609",21
"1610",22.5
"1611",23
"1612",22
"1613",22
"1614",22
"1615",22
"1616",21.5
"1617",21.5
"1618",21
"1619",21
"1620",21.5
"1621",22
"1622",22
"1623",22
"1624",22
"1625",22.5
"1626",22.5
"1627",22.5
"1628",22.5
"1629",22.5
"1630",22.5
"1631",22.5
"1632",22.5
"1633",22.5
"1634",22.5
"1635",22.5
"1636",22.5
"1637",22.5
"1638",22.5
"1639",22
"1640",22
"1641",22
"1642",22
"1643",22
"1644",22
"1645",21.5
"1646",22
"1647",21.5
"1648",21.5
"1649",21.5
"1650",21.5
"1651",21.5
"1652",21.5
"1653",21.5
"1654",21.5
"1655",21
"1656",21.5
"1657",21
"1658",21.5
"1659",21
"1660",21
"1661",21
"1662",21
"1663",21
"1664",21
"1665",21
"1666",21
"1667",20.5
"1668",21
"1669",20.5
"1670",21
"1671",20.5
"1672",20.5
"1673",20.5
"1674",20.5
"1675",20.5
"1676",20.5
"1677",20.5
"1678",20.5
"1679",20.5
"1680",20
"1681",20
"1682",20
"1683",20
"1684",20
"1685",20
"1686",20
"1687",20
"1688",20
"1689",20
"1690",19.5
"1691",20
"1692",19.5
"1693",19.5
"1694",19.5
"1695",19.5
"1696",19.5
"1697",19.5
"1698",19.5
"1699",19.5
"1700",19
"1701",19
"1702",19
"1703",19
"1704",20
"1705",22
"1706",22
"1707",21.5
"1708",21.5
"1709",21.5
"1710",21.5
"1711",21
"1712",21
"1713",21
"1714",21
"1715",21
"1716",21.5
"1717",21.5
"1718",21.5
"1719",22
"1720",22
"1721",22
"1722",22.5
"1723",22.5
"1724",22.5
"1725",22.5
"1726",22.5
"1727",22.5
"1728",22.5
"1729",23
"1730",23
"1731",23
"1732",23
"1733",23
"1734",23.5
"1735",23.5
"1736",23.5
"1737",23.5
"1738",23.5
"1739",23.5
"1740",23.5
"1741",23.5
"1742",23
"1743",23
"1744",23
"1745",23
"1746",22.5
"1747",22.5
"1748",22.5
"1749",22.5
"1750",22.5
"1751",22.5
"1752",22
"1753",22
"1754",22
"1755",22
"1756",22
"1757",22
"1758",21.5
"1759",21.5
"1760",21.5
"1761",21.5
"1762",21.5
"1763",21
"1764",21
"1765",21
"1766",21
"1767",21
"1768",21
"1769",21
"1770",20.5
"1771",20.5
"1772",20.5
"1773",20.5
"1774",20.5
"1775",20.5
"1776",20.5
"1777",20
"1778",20
"1779",20
"1780",20
"1781",20
"1782",20
"1783",20
"1784",19.5
"1785",19.5
"1786",19.5
"1787",19.5
"1788",19.5
"1789",19.5
"1790",19.5
"1791",19.5
"1792",19
"1793",19
"1794",19
"1795",19
"1796",19
"1797",19
"1798",19
"1799",19
"1800",18.5
"1801",18.5
"1802",18.5
"1803",18.5
"1804",18.5
"1805",18.5
"1806",19
"1807",19
"1808",19
"1809",19
"1810",19
"1811",19
"1812",19
"1813",19
"1814",19
"1815",19
"1816",19
"1817",19
"1818",19.5
"1819",20
"1820",20
"1821",20.5
"1822",21
"1823",21
"1824",21
"1825",21
"1826",21.5
"1827",21
"1828",21
"1829",21.5
"1830",21.5
"1831",21.5
"1832",21.5
"1833",21.5
"1834",21.5
"1835",21.5
"1836",21
"1837",21
"1838",21
"1839",21
"1840",20.5
"1841",20.5
"1842",20.5
"1843",20.5
"1844",20
"1845",20
"1846",20
"1847",20
"1848",19.5
"1849",19.5
"1850",19.5
"1851",19.5
"1852",19.5
"1853",19
"1854",19
"1855",19
"1856",19
"1857",18.5
"1858",18.5
"1859",18.5
"1860",18.5
"1861",18.5
"1862",18.5
"1863",18.5
"1864",18.5
"1865",18
"1866",18
"1867",18
"1868",18
"1869",18
"1870",18
"1871",17.5
"1872",17.5
"1873",18
"1874",17.5
"1875",17.5
"1876",17.5
"1877",17.5
"1878",17.5
"1879",17.5
"1880",17
"1881",17.5
"1882",17
"1883",17
"1884",17
"1885",17
"1886",17
"1887",17
"1888",17
"1889",17
"1890",17
"1891",16.5
"1892",16.5
"1893",17
"1894",16.5
"1895",16.5
"1896",16.5
"1897",16.5
"1898",16.5
"1899",16.5
"1900",16.5
"1901",16.5
"1902",16.5
"1903",17
"1904",16.5
"1905",16.5
"1906",16.5
"1907",16.5
"1908",16.5
"1909",16.5
"1910",16.5
"1911",16.5
"1912",17
"1913",17
"1914",17.5
"1915",17.5
"1916",17
"1917",17.5
"1918",17.5
"1919",17.5
"1920",17.5
"1921",17.5
"1922",17.5
"1923",17.5
"1924",18
"1925",18
"1926",18
"1927",18
"1928",18
"1929",18
"1930",18
"1931",18
"1932",18
"1933",18
"1934",18
"1935",18
"1936",17.5
"1937",18
"1938",18
"1939",17.5
"1940",17.5
"1941",17.5
"1942",17.5
"1943",17.5
"1944",17.5
"1945",17.5
"1946",17.5
"1947",17.5
"1948",17.5
"1949",17
"1950",17
"1951",17
"1952",17
"1953",17
"1954",17
"1955",17
"1956",17
"1957",17
"1958",17
"1959",17
"1960",17
"1961",17
"1962",17
"1963",17
"1964",17
"1965",17
"1966",16.5
"1967",17
"1968",17
"1969",16.5
"1970",16.5
"1971",16.5
"1972",17
"1973",16.5
"1974",16.5
"1975",16.5
"1976",16.5
"1977",16.5
"1978",17
"1979",16.5
"1980",16.5
"1981",16.5
"1982",16.5
"1983",16.5
"1984",16.5
"1985",16.5
"1986",16.5
"1987",16.5
"1988",16.5
"1989",16.5
"1990",16.5
"1991",16.5
"1992",17
"1993",19.5
"1994",21
"1995",22
"1996",22
"1997",21
"1998",21
"1999",20.5
"2000",20.5
"2001",20
"2002",20.5
"2003",21
"2004",21.5
"2005",21.5
"2006",21.5
"2007",22
"2008",22
"2009",22
"2010",22.5
"2011",22
"2012",22
"2013",23
"2014",23.5
"2015",24
"2016",23.5
"2017",23
"2018",23
"2019",23
"2020",23
"2021",23
"2022",23
"2023",22.5
"2024",22.5
"2025",22.5
"2026",22.5
"2027",22.5
"2028",22.5
"2029",22.5
"2030",22.5
"2031",22.5
"2032",22
"2033",22
"2034",22
"2035",22
"2036",22
"2037",22
"2038",22
"2039",21.5
"2040",21.5
"2041",21.5
"2042",21.5
"2043",21.5
"2044",21.5
"2045",21
"2046",21.5
"2047",21
"2048",21
"2049",21
"2050",21
"2051",21
"2052",21
"2053",21
"2054",20.5
"2055",20.5
"2056",20.5
"2057",20.5
"2058",20.5
"2059",20.5
"2060",20.5
"2061",20
"2062",20
"2063",20
"2064",20
"2065",20
"2066",20
"2067",20
"2068",20
"2069",20
"2070",20
"2071",20
"2072",19.5
"2073",19.5
"2074",19.5
"2075",19.5
"2076",19.5
"2077",19.5
"2078",19.5
"2079",19.5
"2080",19
"2081",19
"2082",19
"2083",19
"2084",19
"2085",19
"2086",19
"2087",19
"2088",19.5
"2089",21.5
"2090",22.5
"2091",21.5
"2092",21.5
"2093",21
"2094",21
"2095",21
"2096",21
"2097",21.5
"2098",21.5
"2099",21.5
"2100",21.5
"2101",21.5
"2102",21.5
"2103",21.5
"2104",21.5
"2105",21.5
"2106",21.5
"2107",21.5
"2108",21
"2109",21.5
"2110",21.5
"2111",21.5
"2112",21.5
"2113",21.5
"2114",21.5
"2115",21.5
"2116",21.5
